"","DATE","TIME","CH4_dry","CO2_dry","CO","Fractional_hours","N_points","track_seg_point_id","ele","time","geometry"
"142","2020-11-30","04:15:55.763",1.83728890245,475.03169698,-0.124022990005,"8033.2533",2,339,81.37,2020-11-30 17:15:12,c(174.7105239797, -36.8890283536)
"143","2020-11-30","04:16:01.101",1.8355466407,482.952820096667,-0.119390020236667,"8033.2547",3,340,81.37,2020-11-30 17:15:17,c(174.7105229739, -36.8890296109)
"144","2020-11-30","04:16:06.003",1.83556534395,482.38731065,-0.082083855506,"8033.2561",2,341,81.37,2020-11-30 17:15:22,c(174.7105249856, -36.8890305329)
"145","2020-11-30","04:16:11.737",1.8364683625,480.058598265,0.1194712088015,"8033.2575",2,342,81.37,2020-11-30 17:15:27,c(174.7105226386, -36.8890387472)
"146","2020-11-30","04:16:17.315",1.83223692815,459.84813449,-0.11015388802,"8033.2589",2,343,80.89,2020-11-30 17:15:32,c(174.7103990894, -36.8891964108)
"147","2020-11-30","04:16:22.220",1.83453885915,440.547712255,-0.105304671964,"8033.2603",2,344,78.97,2020-11-30 17:15:37,c(174.7100271005, -36.8895391468)
"148","2020-11-30","04:16:27.803",1.83214836975,424.4376716,-0.098811316137,"8033.2617",2,345,77.04,2020-11-30 17:15:42,c(174.7095397767, -36.8900015764)
"149","2020-11-30","04:16:32.651",1.8332232705,425.164227355,-0.09412648837,"8033.2631",2,346,76.08,2020-11-30 17:15:47,c(174.7090656962, -36.8904472422)
"150","2020-11-30","04:16:37.499",1.8345442958,419.641578905,-0.1102169892,"8033.2644",2,347,74.64,2020-11-30 17:15:52,c(174.7085904423, -36.8909056485)
"151","2020-11-30","04:16:42.351",1.8349882942,418.846454725,-0.12634649232,"8033.2658",2,348,73.2,2020-11-30 17:15:57,c(174.7081228159, -36.8913464528)
"152","2020-11-30","04:16:47.290",1.8353702816,416.854669155,-0.12672760829,"8033.2672",2,349,72.72,2020-11-30 17:16:02,c(174.7076820116, -36.8917656317)
"153","2020-11-30","04:16:52.144",1.83597722385,422.117106585,0.00546244262999999,"8033.2686",2,350,72.24,2020-11-30 17:16:07,c(174.7072422132, -36.8921846431)
"154","2020-11-30","04:17:02.885",1.83967547495,506.695697825,0.45643905171,"8033.2714",2,352,74.16,2020-11-30 17:16:17,c(174.7065367084, -36.8928901479)
"155","2020-11-30","04:17:07.785",1.8386783764,480.392759335,0.34549380705,"8033.2728",2,353,74.64,2020-11-30 17:16:22,c(174.7063390631, -36.8931918126)
"156","2020-11-30","04:17:13.190",1.8412699892,499.8271135,0.61663398456,"8033.2742",1,354,74.64,2020-11-30 17:16:27,c(174.7060026135, -36.8935213052)
"157","2020-11-30","04:17:18.049",1.84421014995,456.730112835,-0.10951815685,"8033.2756",2,355,75.12,2020-11-30 17:16:32,c(174.7056937404, -36.8938029371)
"158","2020-11-30","04:17:22.894",1.83407126655,423.40975467,-0.109683679157,"8033.2769",2,356,75.12,2020-11-30 17:16:37,c(174.7054160479, -36.8940451741)
"159","2020-11-30","04:17:27.756",1.83395955295,421.21029136,-0.11069752023,"8033.2783",2,357,74.64,2020-11-30 17:16:42,c(174.7052472364, -36.8941822182)
"160","2020-11-30","04:17:33.644",1.844816229,424.92167811,0.0092993684979,"8033.2797",1,358,74.64,2020-11-30 17:16:47,c(174.7051926702, -36.8942263909)
